index,bit
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,0
